,Symbol,Correction,Advance,Recovery,20200219,20200323,20200528
0,ADNT,-65.66895059502345,79.72689075630252,-38.297872340425535,27.73,9.52,17.11
1,AERI,-38.21263482280432,18.204488778054873,-26.964560862865937,19.47,12.03,14.22
2,AFYA,-47.10775047258979,34.739099356683354,-28.733459357277876,26.45,13.99,18.85
3,AQMS,-59.5377099964256,153.23910482921082,2.466340998451083,0.8393,0.3396,0.86
4,ASLN,-54.20560747663552,79.47959183673468,-17.80841121495328,2.14,0.98,1.7589
5,BCOR,-58.17199459702837,29.76318622174382,-45.72264745610086,22.21,9.29,12.055
6,BYSI,-23.177676537585413,22.090437361008146,-6.207289293849658,17.56,13.49,16.47
7,ENLV,-52.96803652968036,28.667475728155335,-39.4851598173516,8.76,4.12,5.3011
8,ESP,-20.89485458612976,6.108597285067884,-16.06263982102908,22.35,17.68,18.76
9,FLDM,-55.82010582010582,167.66467065868264,18.253968253968257,3.78,1.67,4.47
10,FPAC,-6.766917293233088,3.3266129032258074,-3.6654135338345917,10.64,9.92,10.25
11,GLW,-36.51645207439199,29.85915492957747,-17.56080114449213,27.96,17.75,23.05
12,GSAT,-38.666666666666664,20.341614906832298,-26.190476190476186,0.42,0.2576,0.31
13,HHS,-44.63667820069204,28.409090909090896,-28.908461780434102,3.179,1.76,2.26
14,KAR,-56.086021505376344,44.07443682664054,-36.73118279569892,23.25,10.21,14.71
15,LHC,-3.9923954372623567,2.2772277227722815,-1.8060836501901094,10.52,10.1,10.33
16,LTBR,-46.0,161.1111111111111,40.99999999999999,4.0,2.16,5.64
17,LUNA,-42.87317620650954,19.64636542239686,-31.64983164983165,8.91,5.09,6.09
18,MDWD,-47.0,25.786163522012572,-33.333333333333336,3.0,1.59,2.0
19,MESO,-63.811563169164884,274.2603550295858,35.4389721627409,9.34,3.38,12.65
20,MRSN,-42.98245614035087,278.6538461538462,115.89912280701758,9.12,5.2,19.69
21,NAVB,-26.923076923076927,238.15789473684205,147.11538461538458,1.04,0.76,2.57
22,NRZ,-69.82316029663436,42.53308128544423,-56.98802053622362,17.53,5.29,7.54
23,NVAX,35.34591194968553,316.72862453531604,464.0251572327044,7.95,10.76,44.84
24,OXM,-50.19472738166567,33.8045112781955,-33.358298382264834,66.76,33.25,44.49
25,PACQ,-1.1494252873563144,4.748062015503878,3.544061302682002,10.44,10.32,10.81
26,PAE,-45.17506404782238,44.392523364485974,-20.836891545687454,11.71,6.42,9.27
27,PCG,-53.62649914334667,43.842364532019715,-33.29525985151343,17.51,8.12,11.68
28,PPIH,-23.657142857142862,-22.005988023952092,-40.457142857142856,8.75,6.68,5.21
29,RIGL,-38.0952380952381,41.95804195804195,-12.121212121212132,2.31,1.43,2.03
30,SECO,-34.74576271186441,-38.96103896103896,-60.16949152542372,5.9,3.85,2.35
31,STWD,-64.996114996115,54.384017758046625,-45.95959595959595,25.74,9.01,13.91
32,TAL,-20.875420875420872,18.170212765957444,-6.498316498316497,59.4,47.0,55.54
33,THR,-36.62435354960037,21.216617210682486,-23.1781852374236,21.27,13.48,16.34
34,VC,-43.8987400839944,43.70971095861924,-19.37704153056463,85.72,48.09,69.11
35,VG,-43.65079365079366,70.77464788732394,-3.7698412698412778,10.08,5.68,9.7
36,VMI,-40.57454121003826,23.723264949803575,-26.476882173659302,154.21,91.64,113.38
37,VRTV,-31.203566121842503,39.95680345572355,-3.714710252600297,13.46,9.26,12.96
38,WIRE,-24.412783981517137,23.02598064187468,-7.008086253369274,51.94,39.26,48.3
39,WOR,-43.883547008547,41.78962398857686,-20.432692307692307,37.44,21.01,29.79
40,WRK,-38.695329873980725,16.364369205965346,-28.663207314059793,40.47,24.81,28.87
